entity,field,value,source_id,retrieved_at,confidence,evidence_kind,source_url,derivation,derived_from,sample_size,notes
pattern:ALM_1_CIRC,season,all_year,osm_route_relations,2026-08-10,medium,,,,,,
pattern:ALM_1_CIRC,shape_id,ALM_1_CIRC,osm_route_relations,2026-08-10,high,,,,,,
pattern:ALM_1_CIRC,stop_sequence,ALM_0001;ALM_0002;ALM_0003;ALM_0004;ALM_0005;ALM_0006;ALM_0007;ALM_0008;ALM_0009;ALM_0010;ALM_0011;ALM_0012;ALM_0013;ALM_0014;ALM_0015;ALM_0016;ALM_0017;ALM_0018;ALM_0001,osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/relation/11185550,,,,19 stops from the relation's platform members in order. The operator's own diagram is transcribed separately for comparison.
pattern:ALM_2A_CIRC,departures:SUMMER_MONFRI,8:00;11:40,official_l2_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2025/08/horarios-2-a-ok-subir.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_2A_CIRC,departures:SUMMER_SAT,8:00,official_l2_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2025/08/horarios-2-a-ok-subir.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Sundays and holidays: sin servicio.
pattern:ALM_2A_CIRC,departures:WINTER_MONFRI,7:35;11:40,official_l2_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-3.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_2A_CIRC,departures:WINTER_SAT,8:00,official_l2_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-3.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Sundays: sin servicio.
pattern:ALM_2A_CIRC,direction_id,0,osm_route_relations,2026-08-10,high,,,,,,"roundtrip=yes: one circular direction, not an out-and-back pair."
pattern:ALM_2A_CIRC,headsign,La Herradura,official_index,2026-08-10,high,,,,,,
pattern:ALM_2A_CIRC,route_id,ALM_2A,osm_route_relations,2026-08-10,high,,https://www.openstreetmap.org/relation/18501805,,,,
pattern:ALM_2A_CIRC,season,all_year,osm_route_relations,2026-08-10,medium,,,,,,
pattern:ALM_2A_CIRC,shape_id,ALM_2A_CIRC,osm_route_relations,2026-08-10,high,,,,,,
pattern:ALM_2A_CIRC,stop_sequence,ALM_0001;ALM_0019;ALM_0020;ALM_0021;ALM_0022;ALM_0023;ALM_0024;ALM_0025;ALM_0026;ALM_0027;ALM_0028;ALM_0029;ALM_0030;ALM_0031;ALM_0032;ALM_0033;ALM_0016;ALM_0017;ALM_0018;ALM_0001,osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/relation/18501805,,,,20 stops from the relation's platform members in order. The operator's own diagram is transcribed separately for comparison.
pattern:ALM_2B_CIRC_SUMMER,departures:SUMMER_MONSAT,10:30;12:30;16:30;20:30;21:30,official_l2_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/06/image-7.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Printed as the unmarked row. A second row on the same image is labelled '* BAJADA PUERTO' with different times; which of the two actually descends to Marina del Este is not stated. See conflicts.yaml.
pattern:ALM_2B_CIRC_SUMMER,departures:SUMMER_MONSAT_PUERTO,8:45;14:00;17:30;19:00,official_l2_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/06/image-7.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Printed as '* BAJADA PUERTO'.
pattern:ALM_2B_CIRC_SUMMER,departures:SUMMER_SUNHOL_PUERTO,8:50;11:30;13:15;17:30;19:45,official_l2_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/06/image-7.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Printed as '* BAJADA PUERTO'; no unmarked Sunday row is shown.
pattern:ALM_2B_CIRC_SUMMER,direction_id,0,osm_route_relations,2026-08-10,high,,,,,,"roundtrip=yes: one circular direction, not an out-and-back pair."
pattern:ALM_2B_CIRC_SUMMER,headsign,La Herradura – Punta de la Mona,official_index,2026-08-10,high,,,,,,
pattern:ALM_2B_CIRC_SUMMER,route_id,ALM_2B,osm_route_relations,2026-08-10,high,,https://www.openstreetmap.org/relation/18496909,,,,
pattern:ALM_2B_CIRC_SUMMER,season,summer,osm_route_relations,2026-08-10,medium,,,,,,
pattern:ALM_2B_CIRC_SUMMER,shape_id,ALM_2B_CIRC_SUMMER,osm_route_relations,2026-08-10,high,,,,,,
pattern:ALM_2B_CIRC_SUMMER,stop_sequence,ALM_0001;ALM_0019;ALM_0020;ALM_0021;ALM_0022;ALM_0023;ALM_0024;ALM_0025;ALM_0026;ALM_0027;ALM_0028;ALM_0029;ALM_0030;ALM_0034;ALM_0035;ALM_0036;ALM_0037;ALM_0038;ALM_0039;ALM_0033;ALM_0016;ALM_0017;ALM_0018;ALM_0001,osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/relation/18496909,,,,24 stops from the relation's platform members in order. The operator's own diagram is transcribed separately for comparison.
pattern:ALM_2B_CIRC_WINTER,conditional,Winter routing. Marina del Este (Puerto Deportivo) is omitted: the operator's winter page footnotes that stop with 'Esta parada no se realiza en el horario de invierno'.,official_l2_winter,2026-08-10,confirmed,,,,,,
pattern:ALM_2B_CIRC_WINTER,departures:WINTER_MONSAT,8:45;10:30;12:30;14:00;16:30;17:30;19:00;20:30,official_l2_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-5.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Single undivided row; the summer BAJADA PUERTO split does not appear.
pattern:ALM_2B_CIRC_WINTER,departures:WINTER_SUNHOL,8:50;11:30;13:15;17:30;19:45,official_l2_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-5.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_2B_CIRC_WINTER,direction_id,0,official_l2_winter,2026-08-10,high,,,,,,
pattern:ALM_2B_CIRC_WINTER,headsign,La Herradura – Punta de la Mona,official_index,2026-08-10,high,,,,,,
pattern:ALM_2B_CIRC_WINTER,route_id,ALM_2B,official_l2_winter,2026-08-10,high,,,,,,
pattern:ALM_2B_CIRC_WINTER,season,winter,official_l2_winter,2026-08-10,confirmed,,,,,,
pattern:ALM_2B_CIRC_WINTER,stop_sequence,ALM_0001;ALM_0019;ALM_0020;ALM_0021;ALM_0022;ALM_0023;ALM_0024;ALM_0025;ALM_0026;ALM_0027;ALM_0028;ALM_0029;ALM_0030;ALM_0034;ALM_0035;ALM_0036;ALM_0037;ALM_0039;ALM_0033;ALM_0016;ALM_0017;ALM_0018;ALM_0001,official_l2_winter,2026-08-10,medium,,,"OSM relation 18496909 stop order, minus Marina del Este (ALM_0038), per the operator's winter footnote.",osm_route_relations;official_l2_winter,,The winter geometry is assumed to be the summer geometry with the port spur removed; that assumption is not itself sourced.
pattern:ALM_2B_CIRC_WINTER,variant_code,NOMARINA,official_l2_winter,2026-08-10,confirmed,,,,,,
pattern:ALM_3A_CIRC,departures:SUMMER_MONSAT,8:00;16:30,official_l3a_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/06/image-10.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Sundays and holidays: sin servicio. 3B and 3C cover Velilla and Taramay in summer.
pattern:ALM_3A_CIRC,departures:WINTER_MONSAT,7:35;9:30;10:00;11:30;12:15;13:30;16:30;17:30;18:20;20:00,official_l3a_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-6.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop. Footnotes on the image: 7:35 runs from 8:00 on Saturdays; 12:15 runs Monday to Friday only. Both need their own service periods.
pattern:ALM_3A_CIRC,departures:WINTER_SUNHOL,10:00;12:15;14:15;18:15;20:30,official_l3a_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-6.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_3A_CIRC,direction_id,0,osm_route_relations,2026-08-10,high,,,,,,"roundtrip=yes: one circular direction, not an out-and-back pair."
pattern:ALM_3A_CIRC,headsign,Velilla – Taramay,official_index,2026-08-10,high,,,,,,
pattern:ALM_3A_CIRC,route_id,ALM_3A,osm_route_relations,2026-08-10,high,,https://www.openstreetmap.org/relation/11186061,,,,
pattern:ALM_3A_CIRC,season,all_year,osm_route_relations,2026-08-10,medium,,,,,,
pattern:ALM_3A_CIRC,shape_id,ALM_3A_CIRC,osm_route_relations,2026-08-10,high,,,,,,
pattern:ALM_3A_CIRC,stop_sequence,ALM_0001;ALM_0040;ALM_0041;ALM_0042;ALM_0043;ALM_0044;ALM_0045;ALM_0046;ALM_0047;ALM_0048;ALM_0049;ALM_0050;ALM_0051;ALM_0052;ALM_0053;ALM_0054;ALM_0055;ALM_0056;ALM_0057;ALM_0058;ALM_0059;ALM_0001,osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/relation/11186061,,,,22 stops from the relation's platform members in order. The operator's own diagram is transcribed separately for comparison.
pattern:ALM_TORRECUEVAS_CIRC,departures:SUMMER_MONSAT,9:00;10:00;12:00;13:30;17:00;18:30;19:30;20:30,official_torrecuevas_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/06/image-8.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_TORRECUEVAS_CIRC,departures:SUMMER_SUNHOL,9:30;11:00;14:00;17:00;19:15,official_torrecuevas_summer,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/06/image-8.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_TORRECUEVAS_CIRC,departures:WINTER_MONSAT,9:00;10:30;12:00;13:30;17:00;18:30;19:30,official_torrecuevas_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-7.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_TORRECUEVAS_CIRC,departures:WINTER_SUNHOL,9:30;11:00;13:50;17:00;19:15,official_torrecuevas_winter,2026-08-10,confirmed,timetable,https://urbanosalmunecar.es/wp-content/uploads/2022/09/image-7.png,,,,Transcribed by hand from the operator's timetable image on 2026-08-10. Departures from the principal stop.
pattern:ALM_TORRECUEVAS_CIRC,direction_id,0,osm_route_relations,2026-08-10,high,,,,,,"roundtrip=yes: one circular direction, not an out-and-back pair."
pattern:ALM_TORRECUEVAS_CIRC,headsign,Torrecuevas,official_index,2026-08-10,high,,,,,,
pattern:ALM_TORRECUEVAS_CIRC,route_id,ALM_TORRECUEVAS,osm_route_relations,2026-08-10,high,,https://www.openstreetmap.org/relation/18501914,,,,
pattern:ALM_TORRECUEVAS_CIRC,season,all_year,osm_route_relations,2026-08-10,medium,,,,,,
pattern:ALM_TORRECUEVAS_CIRC,shape_id,ALM_TORRECUEVAS_CIRC,osm_route_relations,2026-08-10,high,,,,,,
pattern:ALM_TORRECUEVAS_CIRC,stop_sequence,ALM_0001;ALM_0060;ALM_0061;ALM_0062;ALM_0063;ALM_0064;ALM_0065;ALM_0066;ALM_0067;ALM_0068;ALM_0069;ALM_0070;ALM_0071;ALM_0072;ALM_0073;ALM_0074;ALM_0001,osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/relation/18501914,,,,17 stops from the relation's platform members in order. The operator's own diagram is transcribed separately for comparison.
route:ALM_1,route_desc,Circular. Routing is temporarily diverted via calle Guadix while Paseo del Altillo is closed for roadworks from 13 April 2026 for about ten months; the available geometry does not reflect the diversion.,official_index,2026-08-10,high,,,,,,
route:ALM_1,route_long_name,Circular,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_1,route_short_name,1,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_1,seasons,summer;winter,official_index,2026-08-10,high,,,,,,
route:ALM_1,status,not_publishable,official_index,2026-08-10,confirmed,,,,,,Circular. Routing is temporarily diverted via calle Guadix while Paseo del Altillo is closed for roadworks from 13 April 2026 for about ten months; the available geometry does not reflect the diversion.
route:ALM_2A,route_long_name,Almuñécar – La Herradura,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_2A,route_short_name,2A,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_2A,seasons,summer;winter,official_index,2026-08-10,high,,,,,,
route:ALM_2B,route_long_name,Almuñécar – La Herradura – Punta de la Mona,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_2B,route_short_name,2B,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_2B,seasons,summer;winter,official_index,2026-08-10,high,,,,,,
route:ALM_3A,route_long_name,Velilla – Taramay,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_3A,route_short_name,3A,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_3A,seasons,summer;winter,official_index,2026-08-10,high,,,,,,
route:ALM_3B,route_desc,"Summer only. No machine-readable stop sequence or coordinates are available for this line; the operator diagram names stops that are not mapped, and the Monday-to-Saturday timetable is published as a frequency.",official_index,2026-08-10,high,,,,,,
route:ALM_3B,route_long_name,Velilla,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_3B,route_short_name,3B,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_3B,seasons,summer,official_index,2026-08-10,high,,,,,,
route:ALM_3B,status,not_publishable,official_index,2026-08-10,confirmed,,,,,,"Summer only. No machine-readable stop sequence or coordinates are available for this line; the operator diagram names stops that are not mapped, and the Monday-to-Saturday timetable is published as a frequency."
route:ALM_3C,route_desc,Summer only. No machine-readable stop sequence or coordinates available.,official_index,2026-08-10,high,,,,,,
route:ALM_3C,route_long_name,Taramay,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_3C,route_short_name,3C,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_3C,seasons,summer,official_index,2026-08-10,high,,,,,,
route:ALM_3C,status,not_publishable,official_index,2026-08-10,confirmed,,,,,,Summer only. No machine-readable stop sequence or coordinates available.
route:ALM_TORRECUEVAS,route_desc,Line number disputed between the operator's own summer and winter pages.,official_index,2026-08-10,high,,,,,,
route:ALM_TORRECUEVAS,route_long_name,Torrecuevas,official_index,2026-08-10,confirmed,narrative,,,,,
route:ALM_TORRECUEVAS,route_short_name,4,official_torrecuevas_summer,2026-08-10,high,narrative,https://urbanosalmunecar.es/lineas-urbanas-almunecar/torrecuevas-verano/,,,,"Page body heading reads 'LINEA 4 TORRECUEVAS'. The same page's validity sentence wrongly says 'horario de invierno' for 1 July to 15 September, so the page is not carefully maintained."
route:ALM_TORRECUEVAS,route_short_name,5,official_torrecuevas_winter,2026-08-10,high,narrative,https://urbanosalmunecar.es/lineas-urbanas-almunecar/torrecuevas-linea-5-invierno/,,,,"Page title reads 'Línea 5 Torrecuevas invierno' and the URL slug contains 'linea-5'. Same sitemap lastmod as the summer page (2026-05-14), so neither can be dismissed as simply older."
route:ALM_TORRECUEVAS,route_short_name,5,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/relation/18501914,,,,"OSM relation ref='Línea 5', operator='Grupo Fajardo'."
route:ALM_TORRECUEVAS,seasons,summer;winter,official_index,2026-08-10,high,,,,,,
route:ALM_TORRECUEVAS,status,not_publishable,official_index,2026-08-10,confirmed,,,,,,Line number disputed between the operator's own summer and winter pages.
service:SUMMER_MONFRI,description,summer monfri,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_MONFRI,end_date,2026-09-15,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_MONFRI,start_date,2026-07-01,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_MONFRI,weekdays,mon;tue;wed;thu;fri,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_MONSAT,description,summer monsat,official_l1_summer,2026-08-10,high,,,,,,
service:SUMMER_MONSAT,end_date,2026-09-15,official_l1_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_MONSAT,start_date,2026-07-01,official_l1_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_MONSAT,weekdays,mon;tue;wed;thu;fri;sat,official_l1_summer,2026-08-10,high,,,,,,
service:SUMMER_MONSAT_PUERTO,description,summer monsat puerto,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_MONSAT_PUERTO,end_date,2026-09-15,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_MONSAT_PUERTO,start_date,2026-07-01,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_MONSAT_PUERTO,weekdays,mon;tue;wed;thu;fri;sat,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_SAT,description,summer sat,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_SAT,end_date,2026-09-15,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_SAT,start_date,2026-07-01,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_SAT,weekdays,sat,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_SUNHOL,description,summer sunhol,official_l1_summer,2026-08-10,high,,,,,,
service:SUMMER_SUNHOL,end_date,2026-09-15,official_l1_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_SUNHOL,start_date,2026-07-01,official_l1_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_SUNHOL,weekdays,sun,official_l1_summer,2026-08-10,high,,,,,,Sundays and public holidays share a timetable; the holiday calendar itself is not published and is not modelled.
service:SUMMER_SUNHOL_PUERTO,description,summer sunhol puerto,official_l2_summer,2026-08-10,high,,,,,,
service:SUMMER_SUNHOL_PUERTO,end_date,2026-09-15,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_SUNHOL_PUERTO,start_date,2026-07-01,official_l2_summer,2026-08-10,confirmed,,,,,,
service:SUMMER_SUNHOL_PUERTO,weekdays,sun,official_l2_summer,2026-08-10,high,,,,,,Sundays and public holidays share a timetable; the holiday calendar itself is not published and is not modelled.
service:WINTER_MONFRI,description,winter monfri,official_l2_winter,2026-08-10,high,,,,,,
service:WINTER_MONFRI,end_date,2027-06-30,official_l2_winter,2026-08-10,confirmed,,,,,,
service:WINTER_MONFRI,start_date,2026-09-16,official_l2_winter,2026-08-10,confirmed,,,,,,
service:WINTER_MONFRI,weekdays,mon;tue;wed;thu;fri,official_l2_winter,2026-08-10,high,,,,,,
service:WINTER_MONSAT,description,winter monsat,official_l1_winter,2026-08-10,high,,,,,,
service:WINTER_MONSAT,end_date,2027-06-30,official_l1_winter,2026-08-10,confirmed,,,,,,
service:WINTER_MONSAT,start_date,2026-09-16,official_l1_winter,2026-08-10,confirmed,,,,,,
service:WINTER_MONSAT,weekdays,mon;tue;wed;thu;fri;sat,official_l1_winter,2026-08-10,high,,,,,,
service:WINTER_SAT,description,winter sat,official_l2_winter,2026-08-10,high,,,,,,
service:WINTER_SAT,end_date,2027-06-30,official_l2_winter,2026-08-10,confirmed,,,,,,
service:WINTER_SAT,start_date,2026-09-16,official_l2_winter,2026-08-10,confirmed,,,,,,
service:WINTER_SAT,weekdays,sat,official_l2_winter,2026-08-10,high,,,,,,
service:WINTER_SUNHOL,description,winter sunhol,official_l1_winter,2026-08-10,high,,,,,,
service:WINTER_SUNHOL,end_date,2027-06-30,official_l1_winter,2026-08-10,confirmed,,,,,,
service:WINTER_SUNHOL,start_date,2026-09-16,official_l1_winter,2026-08-10,confirmed,,,,,,
service:WINTER_SUNHOL,weekdays,sun,official_l1_winter,2026-08-10,high,,,,,,Sundays and public holidays share a timetable; the holiday calendar itself is not published and is not modelled.
shape:ALM_1_CIRC,geometry,geometry/ALM_1_CIRC.geojson,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/relation/11185550,"Way members of relation 11185550 stitched in relation order, each flipped when its endpoints indicate reverse traversal.",,,"355 points. © OpenStreetMap contributors, ODbL."
shape:ALM_2A_CIRC,geometry,geometry/ALM_2A_CIRC.geojson,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/relation/18501805,"Way members of relation 18501805 stitched in relation order, each flipped when its endpoints indicate reverse traversal.",,,"734 points. © OpenStreetMap contributors, ODbL."
shape:ALM_2B_CIRC_SUMMER,geometry,geometry/ALM_2B_CIRC_SUMMER.geojson,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/relation/18496909,"Way members of relation 18496909 stitched in relation order, each flipped when its endpoints indicate reverse traversal.",,,"990 points. © OpenStreetMap contributors, ODbL."
shape:ALM_3A_CIRC,geometry,geometry/ALM_3A_CIRC.geojson,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/relation/11186061,"Way members of relation 11186061 stitched in relation order, each flipped when its endpoints indicate reverse traversal.",,,"597 points. © OpenStreetMap contributors, ODbL."
shape:ALM_TORRECUEVAS_CIRC,geometry,geometry/ALM_TORRECUEVAS_CIRC.geojson,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/relation/18501914,"Way members of relation 18501914 stitched in relation order, each flipped when its endpoints indicate reverse traversal.",,,"499 points. © OpenStreetMap contributors, ODbL."
stop:ALM_0001,coordinate,"36.735781,-3.690181",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4266754568,,,,
stop:ALM_0001,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0001,name,Plaza de la Carrera,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4266754568,,,,OSM name; the operator's diagrams use different wording.
stop:ALM_0001,osm_node_id,4266754568,osm_route_relations,2026-08-10,high,,,,,,
stop:ALM_0002,coordinate,"36.732431,-3.688497",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4266754569,,,,
stop:ALM_0002,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0002,name,Plaza de Madrid,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4266754569,,,,OSM name; the operator's diagrams use different wording.
stop:ALM_0002,osm_node_id,4266754569,osm_route_relations,2026-08-10,high,,,,,,
stop:ALM_0003,coordinate,"36.731577,-3.690154",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4266754570,,,,
stop:ALM_0003,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0003,name,Paseo del Altillo,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4266754570,,,,OSM name; the operator's diagrams use different wording.
stop:ALM_0003,osm_node_id,4266754570,osm_route_relations,2026-08-10,high,,,,,,
stop:ALM_0004,coordinate,"36.729311,-3.694506",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4266754571,,,,
stop:ALM_0004,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0004,name,Peñón del Santo,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4266754571,,,,OSM name; the operator's diagrams use different wording.
stop:ALM_0004,osm_node_id,4266754571,osm_route_relations,2026-08-10,high,,,,,,
stop:ALM_0005,coordinate,"36.731276,-3.697672",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4105757302,,,,
stop:ALM_0005,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0005,name,San Cristóbal 1 - Hotel Playa,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4105757302,,,,OSM name; the operator's diagrams use different wording.
stop:ALM_0005,osm_node_id,4105757302,osm_route_relations,2026-08-10,high,,,,,,
stop:ALM_0006,coordinate,"36.732152,-3.699076",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4266754573,,,,
stop:ALM_0006,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0006,name,San Cristóbal 2 - Hotel Helios,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4266754573,,,,OSM name; the operator's diagrams use different wording.
stop:ALM_0006,osm_node_id,4266754573,osm_route_relations,2026-08-10,high,,,,,,
stop:ALM_0007,coordinate,"36.733098,-3.700519",osm_route_relations,2026-08-10,medium,bus_stop_node,https://www.openstreetmap.org/node/4266754574,,,,
stop:ALM_0007,municipality,Almuñécar,osm_route_relations,2026-08-10,medium,,,Assigned from longitude: west of -3.725 is La Herradura.,,,
stop:ALM_0007,name,San Cristóbal 3 - Mar del Sol,osm_route_relations,2026-08-10,medium,,https://www.openstreetmap.org/node/4266754574,,,,OSM name; the operator's diagrams use different wording.
